Name,FileSpec,Template,Loadspec,Secondary,VolumeGroup,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMaxCurve,WetMaxCurve,DryMinCurve,WetMinCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,PanType,Storage,Looping,RandomizeType,Probability,StartDelay,ReverbSend,Duck,Pan,CenterSend,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,DistanceLpfMin,DistanceLpfMax,FluxType,FluxTime,Subtitle,Doppler,Futz,ContextType,ContextValue,Compression,Timescale,IsMusic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Bus,DuckGroup
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# WIND / AIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2D BGs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_exterior_2d,amb\environment\wind\clear\amb_wind_clear_ext.wav,AMB_AIR_ROOM_TONE_2D,,,,10,10,,,,,,,,2,reject,,,0,0,,,,,2d,streamed,looping,,,,10,,,,,,,,,,,,,,,,,,,,,,300,1000,,,,
amb_wind_interior_2d,amb\environment\wind\clear\amb_wind_clear_int.wav,AMB_AIR_ROOM_TONE_2D,,,,59,59,,,,,,,,2,reject,,,0,0,,,,,2d,streamed,looping,,,,10,,,,,,,,,,,,,,,,,,,,,,300,1000,,,,
amb_wind_ext_shrt_mn,amb\environment\wind\clear\amb_wind_clear_ext_shrt.wav,AMB_WIND_LOOP_3D,,,,64,64,75,250,251,,,,,3,priority,,,0,0,,,,,,,looping,,,,15,,,,75,250,98,0.5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# LINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#amb_air_narrow_l,amb\environment\wind\drafty\amb_wind_drafty_l_1.wav,AMB_WIND_LOOP_3D,,,,59,59,100,1200,1201,,,,,2,priority,,,,,,,,,,loaded,,,,,20,,,,300,900,90,0.4,,,,,,,,,,,,,,,,,,,,
#amb_air_narrow_r,amb\environment\wind\drafty\amb_wind_drafty_r_1.wav,AMB_WIND_LOOP_3D,,,,59,59,100,1200,1201,,,,,2,priority,,,,,,,,,,loaded,,,,,20,,,,300,900,90,0.4,,,,,,,,,,,,,,,,,,,,
#amb_air_narrow_2_l,amb\environment\wind\drafty\amb_wind_drafty_l_2.wav,AMB_WIND_LOOP_3D,,,,59,59,100,1200,1201,,,,,2,priority,,,,,,,,,,loaded,,,,,20,,,,300,900,90,0.4,,,,,,,,,,,,,,,,,,,,
#amb_air_narrow_2_r,amb\environment\wind\drafty\amb_wind_drafty_r_2.wav,AMB_WIND_LOOP_3D,,,,59,59,100,1200,1201,,,,,2,priority,,,,,,,,,,loaded,,,,,20,,,,300,900,90,0.4,,,,,,,,,,,,,,,,,,,,
#amb_air_int_low,amb\environment\wind\interior\amb_wind_int_low.wav,AMB_WIND_LOOP_3D,,,,59,59,100,400,401,,,,,,,,,,,,,,,,loaded,,,,,20,,,,150,500,96,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_int_dark,amb\environment\wind\alley\alley_wind_00_l.wav,AMB_WIND_LOOP_3D,,,,63,63,150,400,401,,,,,,,,,,,,,,,,loaded,,,,,25,,,,150,400,96,0.8,,,,,,,,,,,,,,,,,,,,
amb_wind_int_mid,amb\environment\wind\interior\amb_wind_int_mid.wav,AMB_WIND_LOOP_3D,,,,59,59,150,400,401,,,,,,,,,,,,,,,,loaded,,,,,25,,,,150,400,96,0.8,,,,,,,,,,,,,,,,,,,,
"# Distant, mid-range cliff-side line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_storm,amb\environment\wind\blustery\wind_blustery_01.wav,AMB_WIND_LOOP_3D,,,,52,52,900,2600,2601,,,,,2,priority,,,,,,,,,,loaded,,,,,25,,,,500,1500,88,0.4,,yes,1100,3000,,,,,,,,,,,,,,,,
#amb_wind_storm_2,amb\environment\wind\strong,AMB_WIND_LOOP_3D,,,,53,53,500,2000,2200,,,,,2,priority,,,,,,,,,,loaded,,,,,25,,,,500,2500,97,0.3,,yes,600,3000,,,,,,,,,,,,,,,,
"# Wispy, closer dist hi-freq cliff-side lines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_debris,amb\environment\wind\blustery\wind_blustery_high_debris.wav,AMB_WIND_LOOP_3D,,,,55,55,250,1200,1500,,,,,2,priority,,,,,,,,,,loaded,,,,,25,,,,250,600,100,0.3,,yes,600,,,,,,,,,,,,,,,,,
amb_wind_debris_shrt,amb\environment\wind\blustery\wind_blustery_high_debris.wav,AMB_WIND_LOOP_3D,,,,55,55,200,850,950,,,,,2,priority,,,,,,,,,,loaded,,,,,25,,,,200,500,100,0.3,,yes,400,,,,,,,,,,,,,,,,,
# North cliffside line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_bluster,amb\environment\wind\blustery\wind_blustery_mid.wav,AMB_WIND_LOOP_3D,,,,62,62,500,2500,3000,,,,,,,,,,,,,,,,loaded,,,,,25,,,,250,700,100,0.4,,yes,,,,,,,,,,,,,,,,,,
# low freq dark wind for tight spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_lp,amb\environment\wind\blustery\wind_blustery_lp.wav,AMB_WIND_LOOP_3D,,,,62,62,150,500,600,,,,,2,priority,,,,,,,,,,loaded,,,,,25,,,,150,350,100,0.2,,no,,,,,,,,,,,,,,,,,,
amb_wind_lp_shrt,amb\environment\wind\interior\amb_wind_int_low.wav,AMB_WIND_LOOP_3D,,,,59,59,100,275,300,,,,,2,priority,,,,,,,,,,loaded,,,,,25,,,,100,300,100,1,,no,,,,,,,,,,,,,,,,,,
# Narrow outdoor corridor spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_wind_whistling,amb\environment\wind\building\between_buildings_01_l.wav,AMB_WIND_LOOP_3D,,,,75,75,200,600,601,,,,,,,,,,,,,,,,loaded,,,,,25,,,,150,500,100,1,,,,,,,,,,,,,,,,,,,,
# Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_water_brook_l,amb\environment\water\brook\light\water_brook_l.wav,AMB_AMBIENCE_3D,,,,74,74,175,600,750,,,,,,,,,,,,,,,,,looping,,,,60,,,,25,75,95,,,,,,,,,,,,,,,,,,,,,
amb_water_brook_r,amb\environment\water\brook\light\water_brook_r.wav,AMB_AMBIENCE_3D,,,,74,74,175,600,750,,,,,,,,,,,,,,,,,looping,,,,60,,,,25,75,95,,,,,,,,,,,,,,,,,,,,,
amb_water_fall,amb\environment\water\waterfall\med\water_fall.wav,AMB_AMBIENCE_3D,,,,75,75,100,1100,1250,,,,,,,,,,,,,,,,,looping,,,,40,,,,100,250,95,0.2,,,,,,,,,,,,,,,,,,,,
amb_water_fall_dist,amb\environment\water\waterfall\med\water_fall_dist.wav,AMB_AMBIENCE_3D,,,,75,75,250,1250,1500,,,,,,,,,,,,,,,,,looping,,,,40,,,,100,250,95,0.2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Random,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_gust_dry,amb\environment\wind\gusts\gust_dry,AMB_AMBIENCE_3D,,amb_gust_rand_debris,,58,70,200,1600,1600,,,,,6,priority,25,reject,-200,200,,,,,,,,,0.6,,30,,,,100,400,92,0.1,,,,,random_direction,8000,,no,,,,,,,,,,,,
amb_gust_cold,amb\environment\wind\gusts\cold,AMB_AMBIENCE_3D,,amb_gust_rand_debris,,60,71,200,1600,1600,,,,,6,priority,25,reject,-200,200,,,,,,,,,0.6,,30,,,,100,400,92,0.1,,,,,random_direction,8000,,no,,,,,,,,,,,,
amb_gust_cold,amb\environment\wind\gusts\rattle_gust,AMB_AMBIENCE_3D,,,,60,72,200,1600,1600,,,,,6,priority,25,reject,-200,200,,,,,,,,,0.6,,30,,,,100,400,92,0.1,,,,,random_direction,8000,,no,,,,,,,,,,,,
amb_gust_rand_debris,amb\material_movement\debris\metal_sand,AMB_AMBIENCE_3D,,,,60,66,150,700,800,,,,,6,priority,25,reject,-200,200,,,,,,,,,0.6,1200,40,,,,100,300,86,0.5,,,,,,,,,,,,,,,,,,,,
amb_gust_rand_debris,amb\material_movement\debris\junk,AMB_AMBIENCE_3D,,,,60,66,150,700,850,,,,,6,priority,25,reject,-200,200,,,,,,,,,0.6,1200,40,,,,100,300,86,0.5,,,,,random_direction,7000,,,,,,,,,,,,,,
amb_junk_debris,amb\material_movement\debris\junk,AMB_AMBIENCE_3D,,,,60,64,150,400,450,,,,,6,priority,25,reject,-200,200,,,,,,,,,0.6,,60,,,,50,100,88,0.5,,,,,,7000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_metal_creak_short,amb\material_movement\creaks\metal\structure\short,AMB_AMBIENCE_3D,,,,60,67,200,750,1000,,,,,5,priority,25,reject,-200,200,,,,,,,,,,,50,,,,50,200,80,0.5,,,,,,,,,,,,,,,,,,,,
amb_metal_creak_long,amb\material_movement\creaks\metal\structure\long,AMB_AMBIENCE_3D,,,,60,67,250,850,1000,,,,,3,priority,25,reject,-200,200,,,,,,,,,,,50,,,,150,500,93,0.5,,,,,,,,,,,,,,,,,,,,
amb_metal_creak_deep,amb\material_movement\creaks\metal\structure\deep,AMB_AMBIENCE_3D,,,,60,67,200,750,1000,,,,,4,priority,25,reject,-200,200,,,,,,,,,,,50,,,,150,400,90,0.5,,,,,,,,,,,,,,,,,,,,
amb_metal_creak_light,amb\material_movement\creaks\metal\stress\light,AMB_AMBIENCE_3D,,,,60,67,200,600,1000,,,,,5,priority,25,reject,-200,200,,,,,,,,,,,50,,,,150,400,90,0.5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_fan_servo_1,amb\industrial\fan\servo\fan_servo_1_00.wav,AMB_AMBIENCE_3D,,,,70,70,75,350,350,,,,,,,,,,,,,,,,,,,,,,,,,25,50,95,,,,,,,,,,,,,,,,,,,,,
amb_fan_servo_2,amb\industrial\fan\servo\fan_servo_2_00.wav,AMB_AMBIENCE_3D,,,,70,70,75,350,350,,,,,,,,,,,,,,,,,,,,,,,,,25,50,95,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_water_lapping,amb\environment\water\lapping,AMB_AMBIENCE_3D,,,,60,60,75,200,201,,,,,,,,,,,,,,,,,,,,,,,,,25,50,95,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_tree_leaves,amb\environment\wind\gusts\gust_leaves,AMB_AMBIENCE_3D,,,,54,61,350,2300,2900,,,,,,,,,,,,,,,,,,,,,,,,,25,300,100,,,yes,250,500,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_glass_crack,amb\material_movement\cracks\glass,AMB_AMBIENCE_3D,,,,70,74,100,400,500,,,,,,,,,,,,,,,,,,,,,,,,,25,50,95,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_locust,amb\animals\insects\locust,AMB_AMBIENCE_3D,,,,58,61,100,1250,1500,rcurve3,,alloff,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#loops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_fan_large,amb\industrial\fan\lrg\rotate\fan_rotate_00.wav,AMB_AMBIENCE_3D,,,,86,86,75,200,201,,,,,,,,,,,,,,,,,looping,,,,,,,,25,50,95,,,,,,,,,,,,,,,,,,,,,
amb_fan_small,amb\industrial\fan\small\small_fan_01.wav,AMB_AMBIENCE_3D,,,,76,76,75,350,650,,,,,,,,,,,,,,,,,looping,,,,,,,,25,50,95,,,,,,,,,,,,,,,,,,,,,
amb_water_pump,amb\environment\water\pump\water_pump.wav,AMB_AMBIENCE_3D,,amb_water_pump_generator,,83,83,150,500,500,,,,,,,,,,,,,,,,,looping,,,,,,,,100,200,95,,,,,,,,,,,,,,,,,,,,,
amb_water_pump_generator,amb\industrial\generator\noisy,AMB_AMBIENCE_3D,,,,77,77,150,950,950,,,,,,,,,,,,,,,,,looping,,,,,,,,100,200,95,,,,,,,,,,,,,,,,,,,,,
amb_water_drain,amb\environment\water\culvert\water_culvert.wav,AMB_AMBIENCE_3D,,,,71,71,150,600,600,,,,,,,,,,,,,,,,,looping,,,,,,,,50,100,98,,,,,,,,,,,,,,,,,,,,,
amb_aquarium,amb\environment\water\aquarium\aquarium.wav,AMB_AMBIENCE_3D,,,,63,63,50,200,500,,,,,,,,,,,,,,,,,looping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#fx ANIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_all_servo_a_1,amb\electronics\wall_servo\wall_servo_a_00_01.wav,AMB_AMBIENCE_3D,,,,90,90,200,750,1000,,,,,,,,,,,,,,,,,,,,,,,,,100,200,95,1,,,,,,,,,,,,,,,,,,,,
amb_all_servo_a_2,amb\electronics\wall_servo\wall_servo_a_00_02.wav,AMB_AMBIENCE_3D,,,,90,90,200,750,1000,,,,,,,,,,,,,,,,,,,,,,,,,100,200,95,1,,,,,,,,,,,,,,,,,,,,
amb_all_servo_a_3,amb\electronics\wall_servo\wall_servo_a_00_03.wav,AMB_AMBIENCE_3D,,,,90,90,200,750,1000,,,,,,,,,,,,,,,,,,,,,,,,,100,200,95,1,,,,,,,,,,,,,,,,,,,,
amb_all_servo_a_4,amb\electronics\wall_servo\wall_servo_a_00_04.wav,AMB_AMBIENCE_3D,,,,90,90,200,750,1000,,,,,,,,,,,,,,,,,,,,,,,,,100,200,95,1,,,,,,,,,,,,,,,,,,,,
amb_all_servo_b_1,amb\electronics\wall_servo\wall_servo_b_00_01.wav,AMB_AMBIENCE_3D,,,,90,90,200,750,1000,,,,,,,,,,,,,,,,,,,,,,,,,100,200,95,1,,,,,,,,,,,,,,,,,,,,
amb_all_servo_b_2,amb\electronics\wall_servo\wall_servo_b_00_02.wav,AMB_AMBIENCE_3D,,,,90,90,200,750,1000,,,,,,,,,,,,,,,,,,,,,,,,,100,200,95,1,,,,,,,,,,,,,,,,,,,,
amb_all_servo_c_1,amb\electronics\wall_servo\wall_servo_c_00_01.wav,AMB_AMBIENCE_3D,,,,90,90,200,750,1000,,,,,,,,,,,,,,,,,,,,,,,,,100,200,95,1,,,,,,,,,,,,,,,,,,,,
amb_all_servo_c_2,amb\electronics\wall_servo\wall_servo_c_00_02.wav,AMB_AMBIENCE_3D,,,,90,90,200,750,1000,,,,,,,,,,,,,,,,,,,,,,,,,100,200,95,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#fx ANIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# p7_fxanim_gp_lab_bio_machinery_01_anim.xanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_bio_machine,amb\electronics\bio_machine\biomachine_loop_00.wav,AMB_AMBIENCE_3D,,,,76,76,200,750,1000,,,,,,,,,,,,,,,,,,,,,,,,,100,200,95,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
